Priser opdateret 13.02.2026;;;;;;;;;;;;;;;;;;;;;;
;;;Ordretyper;;;;;Foreslået salgspris;;Service interval;;;;;;;;;;;;
Deutz-Fahr 5115D TTV StageV Farmotion;Reservedelsnr.;Antal;Brutto;Haste;Uge;Måned;Vælg Ordretype:;Måned;;100 timer;600 timer;1200 timer;1800 timer;2400 timer;3000 timer;3600 timer;4200 timer;4800 timer;;;;
Motoroliefilter;2.4419.340.0/10;1;150,32;121,76;111,24;94,55;;108,74;;108,74;108,74;108,74;108,74;108,74;108,74;108,74;108,74;108,74;;;;
Brændstoffilter;0.036.2705.0;1;380,17;307,93;281,32;239,12;;274,99;;274,99;274,99;274,99;274,99;274,99;274,99;274,99;274,99;274,99;;;;
Brændstoffilter;0.036.2704.0;1;380,17;307,93;281,32;239,12;;274,99;;274,99;274,99;274,99;274,99;274,99;274,99;274,99;274,99;274,99;;;;
Transmissionsfilter;2.4419.814.0;1;704,18;570,38;521,09;442,93;;509,37;;;509,37;509,37;509,37;509,37;509,37;509,37;509,37;509,37;;Disse to felter kan ændres;;
Transmissionsfilter;2.4419.831.0;1;1190,60;964,39;881,05;748,89;;861,23;;;861,23;861,23;861,23;861,23;861,23;861,23;861,23;861,23;;Fortjeneste;15%;
Luftfilter f/ motor udv.;0.900.7728.9;1;985,10;797,93;728,97;619,62;;712,57;;;;712,57;;712,57;;712,57;;712,57;;Timepris, arbejdsløn; 650,00 kr. ;
luftfilter f/ motor indv.;0.900.7729.0;1;631,29;511,35;467,16;397,09;;456,65;;;;;;;;;;456,65;;;;
Adbluefilter;0.900.2672.1;1;894,74;724,74;662,11;562,79;;647,21;;;;647,21;;647,21;;647,21;;647,21;;;;
Luftfilter f/ kabine;0.029.3968.3;1;1935,48;1567,74;1432,25;1217,41;;1400,02;;;;1400,02;;1400,02;;1400,02;;1400,02;;;;
Luftfilter f/ kabine recirkulering;0.900.7256.8;2;327,52;265,29;242,36;206,01;;236,91;;;;236,91;;236,91;;236,91;;236,91;;;;
Remstrammer;0.021.4446.4;2;2033,82;1830,44;1444,01;1227,41;;1411,52;;;;;;;;;;1411,52;;;;
Rem ;2.4119.228.0;1;624,27;499,42;374,56;318,38;;366,13;;;;;;;;;;366,13;;;;
;;;;;;;;;SUM, reservedele; 658,72 ; 2.029,31 ; 5.026,02 ; 2.029,31 ; 5.026,02 ; 2.029,31 ; 5.026,02 ; 2.029,31 ; 7.260,32 ;;;;
;;;;;;;;;Arbejdstimer ;3,0;5,0;8,5;5,0;8,5;5,0;8,5;5,0;10,0;;;;
;;;;;;;;;Arbejdsløn; 1.950 ; 3.250 ; 5.525 ; 3.250 ; 5.525 ; 3.250 ; 5.525 ; 3.250 ; 6.500 ;;;;
Væsker;;;;;;;Foreslået salgspris fra Univar;;;;;;;;;;;;;;;
Motorolie 15w-40 Special engine oil;;9,5;;;;;42,50;403,75;;403,75;403,75;403,75;403,75;403,75;403,75;403,75;403,75;403,75;;;;
Transmissionsolie 10w-30 UTTO;;55;;;;;27,95;1537,25;;;;1537,25;;1537,25;;1537,25;;1537,25;;;;
Foraksel 10w-30 UTTO;;6;;;;;27,95;167,70;;;;167,70;;167,70;;167,70;;167,70;;;;
Slutdrev foraksel 10w-30 UTTO;;3;;;;;27,95;83,85;;;;83,85;;83,85;;83,85;;83,85;;;;
Kølervæske Greentech Coolant;;12;;;;;22,87;274,44;;;;;;;;;;274,44;;;;
Sprinklervæske;;3;;;;;20,00;60,00;;;60,00;60,00;60,00;60,00;60,00;60,00;60,00;60,00;;;;
Fedtpatron;;1;;;;;65,87;65,87;;;65,87;65,87;65,87;65,87;65,87;65,87;65,87;65,87;;;;
Kølemiddel f/ aircon anlæg (gram);;100;;;;;1,00;100,00;;;;100,00;;100,00;;100,00;;100,00;;;;
;;;;;;;;;SUM, væsker;403,75;529,62;2418,42;529,62;2418,42;529,62;2418,42;529,62;2692,86;;;;
Diverse;;;;;;;Foreslået salgspris;;;;;;;;;;;;;;;
Testudstyr (D-Tech);;1;;;;;500,00;500,00;;;500,00;500,00;500,00;500,00;500,00;500,00;500,00;500,00;;;;
Testudstyr f/  aircon anlæg;;1;;;;;500,00;500,00;;;;500,00;;500,00;;500,00;;500,00;;;;
Hjælpematerialer;;1;;;;;750,00;750,00;;;;750,00;;750,00;;750,00;;750,00;;;;
Diverse;;1;;;;;500,00;500,00;;500,00;500,00;500,00;500,00;500,00;750,00;500,00;500,00;500,00;;;;
;;;;;;;;;;;;;;;;;;;; Timepris ved 1800 timer ; Timepris ved 3500 timer ; Timepris ved 5400 timer 
;;;;;;;;;Total, DKK; 3.512,47 ; 6.808,93 ; 15.219,44 ; 6.808,93 ; 15.219,44 ; 7.058,93 ; 15.219,44 ; 6.808,93 ; 18.703,18 ;; 14,19 ; 15,86 ; 17,66 
;;;;;;;;;;;;;;;;;;;;*ekskl. 1800 timers service;*ekskl. 3000 timers service;*ekskl. 5400 timers service
